"featureFlag","ref","type","baseWeapon","baseMods","supportedAttachments","lootTags","tier","pingCommsAction","fakeAmmoIcon","icon","pickupModel","skinOverride","attachSound","pickupSound_1p","pickupSound_3p","carrySound","pickupString","desc","countPerDrop","inventorySlotCount","netInt","passive","minPVPCurrency","maxPVPCurrency","scrapValue","droppodRotate","conditional","isDynamic","pretendsToBeBlank"
"","blank","blank","","","","",0,"","","","",0,"","","","","","",1,1,"","",0,0,0,0,0,0,0
"","fs_ball","custom_pickup","","","","",5,"PING_ITEM_DATA_KNIFE","","rui/rui_screens/skull","mdl/flowstate_custom/w_oddball.rmdl",0,"","survival_loot_pickup_VaultKey","survival_loot_pickup_3p_tactical_ammo","","Oddball","Mysterious Ball",1,1,"","",0,0,0,0,0,0,0
"","mp_weapon_energysword","main_weapon","","","","assault",5,"","rui/hud/gametype_icons/survival/sur_ammo_lstar","","",0,"","survival_loot_pickup_weapon_r97","survival_loot_pickup_3p_weapon_r97","","","",1,1,"","",0,0,20,0,0,0,0
"","mp_weapon_haloshotgun","main_weapon","","","","shotgun",5,"","rui/hud/gametype_icons/survival/sur_ammo_heavy","","",0,"","survival_loot_pickup_weapon_r97","survival_loot_pickup_3p_weapon_r97","","","",1,1,"","",0,0,20,0,0,0,0
"","mp_weapon_halosmg","main_weapon","","","","shotgun",5,"","rui/hud/gametype_icons/survival/sur_ammo_heavy","","",0,"","survival_loot_pickup_weapon_r97","survival_loot_pickup_3p_weapon_r97","","","",1,1,"","",0,0,20,0,0,0,0
"","mp_weapon_halomagnum","main_weapon","","","","pistol",5,"","rui/hud/gametype_icons/survival/sur_ammo_lstar","","",0,"","survival_loot_pickup_weapon_r97","survival_loot_pickup_3p_weapon_r97","","","",1,1,"","",0,0,20,0,0,0,0
"","mp_weapon_haloneedler","main_weapon","","","","smg",5,"","rui/hud/gametype_icons/survival/sur_ammo_lstar","","",0,"","survival_loot_pickup_weapon_r97","survival_loot_pickup_3p_weapon_r97","","","",1,1,"","",0,0,20,0,0,0,0
"","mp_weapon_haloassaultrifle","main_weapon","","","","assault",5,"","rui/hud/gametype_icons/survival/sur_ammo_heavy","","",0,"","survival_loot_pickup_weapon_r97","survival_loot_pickup_3p_weapon_r97","","","",1,1,"","",0,0,20,0,0,0,0
"","mp_weapon_halobattlerifle","main_weapon","","","","assault",5,"","rui/hud/gametype_icons/survival/sur_ammo_heavy","","",0,"","survival_loot_pickup_weapon_r97","survival_loot_pickup_3p_weapon_r97","","","",1,1,"","",0,0,20,0,0,0,0
"","mp_weapon_halodmr","main_weapon","","","","assault",5,"","rui/hud/gametype_icons/survival/sur_ammo_heavy","","",0,"","survival_loot_pickup_weapon_r97","survival_loot_pickup_3p_weapon_r97","","","",1,1,"","",0,0,20,0,0,0,0
"","mp_weapon_halosniperrifle","main_weapon","","","","assault",5,"","rui/hud/gametype_icons/survival/sur_ammo_kraber","","",0,"","survival_loot_pickup_weapon_r97","survival_loot_pickup_3p_weapon_r97","","","",1,1,"","",0,0,20,0,0,0,0
"","mp_weapon_frag_grenade_halomod","ordnance","","","","",1,"PING_OFFHAND_GRENADE_FRAG","","rui/ordnance_icons/grenade_frag","mdl/flowstate_custom/halomod/w_frag_grenade_halomod.rmdl",0,"","survival_loot_pickup_ordanance","survival_loot_pickup_3p_ordanance","","","",1,1,"","",0,0,5,0,0,0,0
"","mp_weapon_plasma_grenade_halomod","ordnance","","","","",1,"PING_OFFHAND_GRENADE_ARC","","rui/ordnance_icons/grenade_arc","mdl/flowstate_custom/halomod/w_plasma_grenade_halomod.rmdl",0,"","survival_loot_pickup_ArcBlade","survival_loot_pickup_3p_ArcBlade","","","",1,1,"","",0,0,5,1,0,0,0
"string","string","string","string","string","string","string","int","string","asset_noprecache","asset_noprecache","asset_noprecache","int","string","string","string","string","string","string","int","int","string","string","int","int","int","bool","bool","bool","bool"
